"Blocking Key Value","Frequency"
"INSHYMBRA","1440"
"INSHYMMAC,FUNHYP","1430"
"FISAPO","1417"
"INSCOLHET","1410"
"AMPBUF,FISCYP","1400"
"INSCOLEPI","1356"
"INSHYMPSE","1344"
"INSCOLPTI","1340"
"INSDIPPAR","1320"
"INSTRICHE","1314"
"INSHYMMEG","7980"
"INSCOLLEP","1302"
"INSTRIHYD","7826"
"BIRANA","1300"
"INSLEPEUP","7380"
"INSCOLPLA","7191"
"INSCOLHYD","6952"
"FISPAR","6699"
"FUNLAC","6474"
"SPIPAR","6440"
"INSHYMHYL,INSCOLMEL","5670"
"INSDIPDIC","5004"
"INSDIPTIP","15836"
"INSHYMLAS","15030"
"INSHYMAND","10152"
"INSCOLMOR","9670"
"VASJUN","9359"
"INSTRIRHY","9263"
"FUNPUC","9139"
"INSCOLSTE","9044"
"INSCOLPRO","8352"
"FUNRUS","8064"
"VASALO","4658"
"INSHYMANT","4186"
"INSCOLCAR","4000"
"INSHYMPER","3818"
"INSCOLCRY","3667"
"INVOPH","3504"
"INSCOLANT","3500"
"BIRDEN","3483"
"INSTRILEP","3255"
"MAMMYO","3198"
"INSCOLPSE","3113"
"MAMPER","3105"
"INSDIPLIM","3078"
"INSCOLPAR","3042"
"MAMMIC,FISHYP","2964"
"FISETH","2916"
"FISLEP","2912"
"BIRMEL","2883"
"VASPIN","2812"
"VASAST","2688"
"FISCOR","2673"
"INSLEPHYP","2624"
"INSCOLAPH","2596"
"BIRPHA","2430"
"INSCOLTRI","2376"
"SLUCON","2368"
"INSHYMNOM","2365"
"FISCAR","2345"
"INSHYMBOM","2340"
"MAMSOR","2325"
"INSHYMDIA","2208"
"INSLEPPAR","2150"
"INSLEPPAP,BIRCAL","2112"
"INSCOLXYL,VASALL","2088"
"INSCOLHYP","2071"
"INSLEPCAL","2016"
"INSCOLCAL","1992"
"INVPOL","1980"
"INSCOLMIC","1935"
"FUNCLA","1910"
"FISTRI","1888"
"INSLEPCOL","1881"
"FUNAMA,SPITET","1850"
"INSCOLTRO","1785"
"SPINEO","1767"
"AMPPLE","1742"
"INVHAL","1728"
"INSLEPPOL","1720"
"BIRCHA,INSCOLNEO","1710"
"FISCHA","1696"
"INVLEP","1680"
"INSHYMOSM","1675"
"FUNLEC,SPIMET","1668"
"INSCOLCHR","1656"
"BIRCAR,FUNHYG","1638"
"INSCOLDER","1624"
"VASARA","1599"
"INSHYMCAM","1584"
"MAMNEO","1540"
"FISSEB","1539"
"AMPRAN","1537"
"INSHYMCOL","1529"
"INVMAC","1520"
"VASPOL","1512"
"VASASP","1508"
"SPITHE","1476"
"INSCOLAGA,FISNOT","1472"
"FISGOB,BIRPIC","1450"
