"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringAttributeComparatorEqual.Category record1Value","[2] StringAttributeComparatorEqual.Category record2Value","[2] StringAttributeComparatorEqual.Category record1PreprocessedValue","[2] StringAttributeComparatorEqual.Category record2PreprocessedValue","[2] StringAttributeComparatorEqual.Category similarity","[2] StringAttributeComparatorEqual.Category postproccesedSimilarity","[3] StringListAttributeComparatorLevenshtein.commonNames record1Value","[3] StringListAttributeComparatorLevenshtein.commonNames record2Value","[3] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.commonNames similarity","[3] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record1Value","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record2Value","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record1PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record2PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.commonNames similarity","[4] StringListAttributeAsWholeComparatorJaccard.commonNames postproccesedSimilarity","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record1Value","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record2Value","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record1PreprocessedValue","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record2PreprocessedValue","[5] StringListAttributeAsWholeComparatorJaccard.regionNames similarity","[5] StringListAttributeAsWholeComparatorJaccard.regionNames postproccesedSimilarity"
"WekaMatchingRule","BIO32501","ES1126","0.0",,"persicaria coccinea","perognathus longimembris pacificus","persicaria coccinea","perognathus longimembris pacificus","0.0","0.0","persicaria coccinea","perognathus longimembris pacificus","persicaria coccinea","perognathus longimembris pacificus","0.2941176470588235","0.2941176470588235","Vascular Plant","Mammal","Vascular Plant","Mammal","0.0","0.0","[water smartweed]","[pacific pocket mouse]","[water smartweed]","[pacific pocket mouse]","0.15000000000000002","0.15000000000000002","water smartweed","pacific pocket mouse","water smartweed","pacific pocket mouse","0.0","0.0","mountain prairie","pacific southwest","mountain prairie","pacific southwest","0.0","0.0"
"WekaMatchingRule","BIO31644","ES1530","0.0",,"paruroctonus becki","paroreomyza maculata","paruroctonus becki","paroreomyza maculata","0.0","0.0","paruroctonus becki","paroreomyza maculata","paruroctonus becki","paroreomyza maculata","0.25","0.25","Spider/Scorpion","Bird","Spider/Scorpion","Bird","0.0","0.0","[none]","[oahu creeper]","[none]","[oahu creeper]","0.08333333333333337","0.08333333333333337","none","oahu creeper","none","oahu creeper","0.0","0.0","pacific southwest","pacific","pacific southwest","pacific","0.5","0.5"
"WekaMatchingRule","BIO32745","ES509","0.84",,"phacelia neglecta","phacelia submutica","phacelia neglecta","phacelia submutica","0.3333333333333333","0.3333333333333333","phacelia neglecta","phacelia submutica","phacelia neglecta","phacelia submutica","0.5555555555555556","0.5555555555555556","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[alkali phacelia, alkali scorpion weed]","[debeque phacelia]","[alkali phacelia, alkali scorpion weed]","[debeque phacelia]","0.5625","0.5625","alkali phacelia alkali scorpion weed","debeque phacelia","alkali phacelia alkali scorpion weed","debeque phacelia","0.2","0.2","pacific southwest","mountain prairie","pacific southwest","mountain prairie","0.0","0.0"
"WekaMatchingRule","BIO10813","ES1478","0.0",,"colaptes chrysoides","colinus virginianus ridgwayi","colaptes chrysoides","colinus virginianus ridgwayi","0.0","0.0","colaptes chrysoides","colinus virginianus ridgwayi","colaptes chrysoides","colinus virginianus ridgwayi","0.2857142857142857","0.2857142857142857","Bird","Bird","Bird","Bird","1.0","1.0","[guilded flicker, gilded flicker]","[masked bobwhite (quail)]","[guilded flicker, gilded flicker]","[masked bobwhite (quail)]","0.17391304347826086","0.17391304347826086","guilded flicker gilded flicker","masked bobwhite (quail)","guilded flicker gilded flicker","masked bobwhite (quail)","0.0","0.0","pacific southwest southwest","southwest","pacific southwest southwest","southwest","0.5","0.5"
"WekaMatchingRule","BIO16311","ES842","0.0",,"eriogonum bicolor","eriophyllum latilobum","eriogonum bicolor","eriophyllum latilobum","0.0","0.0","eriogonum bicolor","eriophyllum latilobum","eriogonum bicolor","eriophyllum latilobum","0.4285714285714286","0.4285714285714286","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[pretty wild buckwheat]","[san mateo woolly sunflower]","[pretty wild buckwheat]","[san mateo woolly sunflower]","0.23076923076923073","0.23076923076923073","pretty wild buckwheat","san mateo woolly sunflower","pretty wild buckwheat","san mateo woolly sunflower","0.0","0.0","mountain prairie","pacific southwest","mountain prairie","pacific southwest","0.0","0.0"
"WekaMatchingRule","BIO06628","ES503","0.0",,"callithamnion","callicarpa ampla","callithamnion","callicarpa ampla","0.0","0.0","callithamnion","callicarpa ampla","callithamnion","callicarpa ampla","0.375","0.375","Nonvascular Plant","Vascular Plant","Nonvascular Plant","Vascular Plant","0.0","0.0","[none]","[capa rosa]","[none]","[capa rosa]","0.11111111111111116","0.11111111111111116","none","capa rosa","none","capa rosa","0.0","0.0","pacific southwest","southeast","pacific southwest","southeast","0.0","0.0"
"WekaMatchingRule","BIO14760","ES735","1.0","1","dudleya traskiae","dudleya traskiae","dudleya traskiae","dudleya traskiae","1.0","1.0","dudleya traskiae","dudleya traskiae","dudleya traskiae","dudleya traskiae","1.0","1.0","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[santa barbara island live forever]","[santa barbara island liveforever]","[santa barbara island live forever]","[santa barbara island liveforever]","0.9696969696969697","0.9696969696969697","santa barbara island live forever","santa barbara island liveforever","santa barbara island live forever","santa barbara island liveforever","0.5","0.5","pacific southwest","pacific southwest","pacific southwest","pacific southwest","1.0","1.0"
"WekaMatchingRule","BIO25447","ES1129","1.0","1","loxops coccineus","loxops coccineus","loxops coccineus","loxops coccineus","1.0","1.0","loxops coccineus","loxops coccineus","loxops coccineus","loxops coccineus","1.0","1.0","Bird","Bird","Bird","Bird","1.0","1.0","[hawaii  akepa]","[hawaii akepa]","[hawaii  akepa]","[hawaii akepa]","0.9230769230769231","0.9230769230769231","hawaii  akepa","hawaii akepa","hawaii  akepa","hawaii akepa","1.0","1.0","pacific","pacific","pacific","pacific","1.0","1.0"
"WekaMatchingRule","BIO16555","ES340","0.0",,"eriogynia pectinata","erigeron parishii","eriogynia pectinata","erigeron parishii","0.0","0.0","eriogynia pectinata","erigeron parishii","eriogynia pectinata","erigeron parishii","0.368421052631579","0.368421052631579","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[none]","[parish s daisy]","[none]","[parish s daisy]","0.0","0.0","none","parish s daisy","none","parish s daisy","0.0","0.0","pacific","pacific southwest","pacific","pacific southwest","0.5","0.5"
"WekaMatchingRule","BIO17231","ES963","0.0",,"euphorbia mercurialina","euphilotes battoides allyni","euphorbia mercurialina","euphilotes battoides allyni","0.0","0.0","euphorbia mercurialina","euphilotes battoides allyni","euphorbia mercurialina","euphilotes battoides allyni","0.33333333333333337","0.33333333333333337","Vascular Plant","Insect","Vascular Plant","Insect","0.0","0.0","[mercury spurge]","[el segundo blue butterfly]","[mercury spurge]","[el segundo blue butterfly]","0.16000000000000003","0.16000000000000003","mercury spurge","el segundo blue butterfly","mercury spurge","el segundo blue butterfly","0.0","0.0","southeast","pacific southwest","southeast","pacific southwest","0.0","0.0"
