"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"scientificName","1.0","scientificName-{BIO19793+http://www.wikidata.org/entity/q609582}","BIO19793+http://www.wikidata.org/entity/q609582","{halocaridina rubra|halocaridina rubra}","halocaridina rubra",,
"category","1.0","category-{BIO15367+BIO15368+http://www.wikidata.org/entity/q608908}","BIO15367+BIO15368+http://www.wikidata.org/entity/q608908","{Insect|Insect|Insect}","Insect",,
"scientificName","1.0","scientificName-{BIO01961+http://www.wikidata.org/entity/q25450}","BIO01961+http://www.wikidata.org/entity/q25450","{anas acuta|anas acuta}","anas acuta",,
"listingStatuses","0.0","listingStatuses-{BIO07306+http://www.wikidata.org/entity/q304539}","BIO07306+http://www.wikidata.org/entity/q304539","{[none]|[endangered]}","[endangered, none]",,
"scientificName","1.0","scientificName-{BIO33738+http://www.wikidata.org/entity/q806838}","BIO33738+http://www.wikidata.org/entity/q806838","{pinus banksiana|pinus banksiana}","pinus banksiana",,
"listingStatuses","0.0","listingStatuses-{BIO11322+http://www.wikidata.org/entity/q1314556}","BIO11322+http://www.wikidata.org/entity/q1314556","{[none]|[vulnerable]}","[vulnerable, none]",,
"commonNames","0.0","commonNames-{BIO42131+http://www.wikidata.org/entity/q1814908}","BIO42131+http://www.wikidata.org/entity/q1814908","{[none]|[comal springs dryopid beetle, stygoparnus comalensis]}","[comal springs dryopid beetle, stygoparnus comalensis, none]",,
"commonNames","1.0","commonNames-{BIO01665+http://www.wikidata.org/entity/q882830}","BIO01665+http://www.wikidata.org/entity/q882830","{[blue spotted salamander]|[blue spotted salamander]}","[blue spotted salamander]",,
"listingStatuses","1.0","listingStatuses-{BIO08802}","BIO08802","{[none]}","[none]",,
"regionnames","1.0","regionnames-{BIO30109}","BIO30109","{[pacific southwest, pacific, midwest, alaska]}","[pacific southwest, alaska, midwest, pacific]",,
"regionnames","1.0","regionnames-{BIO36333}","BIO36333","{[northeast]}","[northeast]",,
"scientificName","1.0","scientificName-{BIO29621+http://www.wikidata.org/entity/q1269064}","BIO29621+http://www.wikidata.org/entity/q1269064","{oceanodroma melania|oceanodroma melania}","oceanodroma melania",,
"category","1.0","category-{BIO42952+http://www.wikidata.org/entity/q1044378}","BIO42952+http://www.wikidata.org/entity/q1044378","{Reptile|Reptile}","Reptile",,
