"RecordIDS","AverageConsistency","scientificName-Consistency","scientificName-Values","category-Consistency","category-Values","listingStatuses-Consistency","listingStatuses-Values","commonNames-Consistency","commonNames-Values","regionnames-Consistency","regionnames-Values","regions-Consistency","regions-Values"
"BIO15521+http://www.wikidata.org/entity/q1328691","0.8333333333333334","1.0","{entoloma clypeatum|entoloma clypeatum}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[entoloma clypeatum]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO33861+http://www.wikidata.org/entity/q528234","0.8333333333333334","1.0","{pirata suwaneus|pirata suwaneus}","1.0","{Spider/Scorpion|Spider/Scorpion}","1.0","{[none]}","0.0","{[none]|[pirata suwaneus]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO41206+http://www.wikidata.org/entity/q934735","0.8333333333333334","1.0","{sphyrapicus varius|sphyrapicus varius}","1.0","{Bird|Bird}","0.0","{[species of concern]|[least concern]}","1.0","{[yellow bellied sapsucker]|[yellow bellied sapsucker]}","1.0","{[northeast, mountain prairie, pacific southwest, southwest, pacific, alaska, southeast, midwest]}","1.0","{[5, 6, 8, 2, 1, 7, 4, 3]}"
"BIO02660+http://www.wikidata.org/entity/q2054706","0.8333333333333334","1.0","{apatania comosa|apatania comosa}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[apatania comosa]}","1.0","{[pacific, mountain prairie]}","1.0","{[1, 6]}"
"BIO42055+BIO42057+ES1626+http://www.wikidata.org/entity/q748921","0.4166666666666667","0.5","{strix occidentalis|strix occidentalis lucida|strix occidentalis lucida|strix occidentalis}","1.0","{Bird|Bird|Bird|Bird}","0.5","{[none]|[threatened]|[threatened]|[near threatened]}","0.5","{[northern spotted owl, spotted owl]|[mexican spotted owl]|[mexican spotted owl]|[spotted owl]}","0.0","{[pacific southwest, southwest, pacific]|[southwest, mountain prairie]|[southwest]}","0.0","{[8, 2, 1]|[2, 6]|[2]}"
"BIO38310+http://www.wikidata.org/entity/q1258146","0.6666666666666666","1.0","{rypticus saponaceus|rypticus saponaceus}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","0.0","{[greater soapfish]|[greater soapfish, rypticus saponaceus]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO09349+http://www.wikidata.org/entity/q685408","0.8333333333333334","1.0","{cheumatopsyche richardsoni|cheumatopsyche richardsoni}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[cheumatopsyche richardsoni]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO27347+http://www.wikidata.org/entity/q2179917","0.8333333333333334","1.0","{microcylloepus moapus|microcylloepus moapus}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[microcylloepus moapus]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO26081+http://www.wikidata.org/entity/q2034877","0.6666666666666666","0.0","{macrobiotus hufelandii|macrobiotus hufelandi}","1.0","{Invertebrate|Invertebrate}","1.0","{[none]}","0.0","{[none]|[macrobiotus hufelandi]}","1.0","{[pacific]}","1.0","{[1]}"
"BIO15339+http://www.wikidata.org/entity/q585125","0.6666666666666666","1.0","{empidonax difficilis|empidonax difficilis}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","0.0","{[cordilleran flycatcher, pacific slope flycatcher, western flycatcher, pacific slope flycatcher]|[pacific slope flycatcher]}","1.0","{[mountain prairie, pacific southwest, southwest, pacific, alaska]}","1.0","{[6, 8, 2, 1, 7]}"
