"Scientific Name","Common Name","Where Listed","Region","ESA Listing Status","Group"
"Drosophila differens","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Wherever found","4","Threatened","Reptiles"
"Corvus leucognaphalus","White-necked crow","Wherever found","4","Endangered","Birds"
"Fusconaia cuneolus","Finerayed pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Sorex ornatus relictus","Buena Vista Lake ornate Shrew","Wherever found","8","Endangered","Mammals"
"Medionidus acutissimus","Alabama moccasinshell","Wherever found","4","Threatened","Clams"
"Salmo salar","Atlantic salmon","Gulf of Maine DPS","5","Endangered","Fishes"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Pleurocera foremani","Rough hornsnail","Wherever found","4","Endangered","Snails"
"Akialoa stejnegeri","Kauai akialoa (honeycreeper)","Wherever found","1","Endangered","Birds"
"Eucyclogobius newberryi","Tidewater goby","Wherever found","8","Endangered","Fishes"
"Pyrgulopsis roswellensis","Roswell springsnail","Wherever found","2","Endangered","Snails"
"Epioblasma metastriata","Upland combshell","Wherever found","4","Endangered","Clams"
"Chasmistes brevirostris","Shortnose Sucker","Wherever found","8","Endangered","Fishes"
"Gila nigrescens","Chihuahua chub","Wherever found","2","Threatened","Fishes"
"Gila cypha","Humpback chub","Wherever found","6","Endangered","Fishes"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","Wherever found","3","Endangered","Amphibians"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Cyprinodon diabolis","Devils Hole pupfish","Wherever found","8","Endangered","Fishes"
"Partulina semicarinata","Lanai tree snail","Wherever found","1","Endangered","Snails"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Wherever found","1","Threatened","Insects"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Eleutherodactylus cooki","Guajon","Wherever found","4","Threatened","Amphibians"
"Euphilotes battoides allyni","El Segundo blue butterfly","Wherever found","8","Endangered","Insects"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Wherever found","2","Endangered","Fishes"
"Dromus dromas","Dromedary pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Succinea chittenangoensis","Chittenango ovate amber snail","Wherever found","5","Threatened","Snails"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
"Lampsilis powellii","Arkansas fatmucket","Wherever found","4","Threatened","Clams"
"Cicindelidia floridana","Miami tiger beetle","Wherever found","4","Endangered","Insects"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","Wherever found","8","Endangered","Fishes"
"Villosa trabalis","Cumberland bean (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","","1","Experimental Population, Non-Essential","Insects"
"Rhinichthys osculus lethoporus","Independence Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Aplodontia rufa nigra","Point Arena mountain beaver","Wherever found","8","Endangered","Mammals"
"Telespyza cantans","Laysan finch (honeycreeper)","Wherever found","1","Endangered","Birds"
"Lampsilis streckeri","Speckled pocketbook","Wherever found","4","Endangered","Clams"
