,Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
0,Drosophila differens,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
1,Ammodramus savannarum floridanus,Florida grasshopper sparrow,Wherever found,4,Endangered,Birds
2,Nerodia clarkii taeniata,Atlantic salt marsh snake,Wherever found,4,Threatened,Reptiles
3,Corvus leucognaphalus,White-necked crow,Wherever found,4,Endangered,Birds
4,Fusconaia cuneolus,Finerayed pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
5,Xyrauchen texanus,Razorback sucker,Wherever found,6,Endangered,Fishes
6,Sorex ornatus relictus,Buena Vista Lake ornate Shrew,Wherever found,8,Endangered,Mammals
7,Medionidus acutissimus,Alabama moccasinshell,Wherever found,4,Threatened,Clams
8,Salmo salar,Atlantic salmon,Gulf of Maine DPS,5,Endangered,Fishes
9,Falco femoralis septentrionalis,Northern Aplomado Falcon,"Wherever found, except where listed as an experimental population",2,Endangered,Birds
10,Pleurocera foremani,Rough hornsnail,Wherever found,4,Endangered,Snails
11,Akialoa stejnegeri,Kauai akialoa (honeycreeper),Wherever found,1,Endangered,Birds
12,Eucyclogobius newberryi,Tidewater goby,Wherever found,8,Endangered,Fishes
13,Pyrgulopsis roswellensis,Roswell springsnail,Wherever found,2,Endangered,Snails
14,Epioblasma metastriata,Upland combshell,Wherever found,4,Endangered,Clams
15,Chasmistes brevirostris,Shortnose Sucker,Wherever found,8,Endangered,Fishes
16,Gila nigrescens,Chihuahua chub,Wherever found,2,Threatened,Fishes
17,Gila cypha,Humpback chub,Wherever found,6,Endangered,Fishes
18,Cryptobranchus alleganiensis bishopi,Ozark Hellbender,Wherever found,3,Endangered,Amphibians
19,Noturus placidus,Neosho madtom,Wherever found,6,Threatened,Fishes
20,Cyprinodon diabolis,Devils Hole pupfish,Wherever found,8,Endangered,Fishes
21,Partulina semicarinata,Lanai tree snail,Wherever found,1,Endangered,Snails
22,Speyeria zerene hippolyta,Oregon silverspot butterfly,Wherever found,1,Threatened,Insects
23,Crotalus willardi obscurus,New Mexican ridge-nosed rattlesnake,Wherever found,2,Threatened,Reptiles
24,Eleutherodactylus cooki,Guajon,Wherever found,4,Threatened,Amphibians
25,Euphilotes battoides allyni,El Segundo blue butterfly,Wherever found,8,Endangered,Insects
26,Catostomus discobolus yarrowi,Zuni bluehead Sucker,Wherever found,2,Endangered,Fishes
27,Dromus dromas,Dromedary pearlymussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
28,Succinea chittenangoensis,Chittenango ovate amber snail,Wherever found,5,Threatened,Snails
29,Notropis albizonatus,Palezone shiner,Wherever found,4,Endangered,Fishes
30,Lampsilis powellii,Arkansas fatmucket,Wherever found,4,Threatened,Clams
31,Cicindelidia floridana,Miami tiger beetle,Wherever found,4,Endangered,Insects
32,Cyprinodon nevadensis mionectes,Ash Meadows Amargosa pupfish,Wherever found,8,Endangered,Fishes
33,Villosa trabalis,Cumberland bean (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
34,Speyeria zerene hippolyta,Oregon silverspot butterfly,,1,"Experimental Population, Non-Essential",Insects
35,Rhinichthys osculus lethoporus,Independence Valley speckled dace,Wherever found,8,Endangered,Fishes
36,Aplodontia rufa nigra,Point Arena mountain beaver,Wherever found,8,Endangered,Mammals
37,Telespyza cantans,Laysan finch (honeycreeper),Wherever found,1,Endangered,Birds
38,Lampsilis streckeri,Speckled pocketbook,Wherever found,4,Endangered,Clams
39,Palaemonetes cummingi,Squirrel Chimney Cave shrimp,Wherever found,4,Threatened,Crustaceans
40,Leptoxis plicata,Plicate rocksnail,Wherever found,4,Endangered,Snails
41,Lampsilis altilis,Finelined pocketbook,Wherever found,4,Threatened,Clams
42,Obovaria retusa,Ring pink (mussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
43,Pterodroma sandwichensis,Hawaiian petrel,Wherever found,1,Endangered,Birds
44,Ischnura luta,Rota blue damselfly,Wherever found,1,Endangered,Insects
45,Erimonax monachus,Spotfin Chub,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes
46,Anaxyrus canorus,Yosemite toad,Wherever found,8,Threatened,Amphibians
47,Noturus flavipinnis,Yellowfin madtom,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes
48,Pacifastacus fortis,Shasta crayfish,Wherever found,8,Endangered,Crustaceans
49,Lepidochelys olivacea,Olive ridley sea turtle,"Wherever found, except when listed as endangered under 50 CFR 224.101",4,Threatened,Reptiles
50,Epioblasma obliquata perobliqua,White catspaw (pearlymussel),Wherever found,3,Endangered,Clams
51,Emballonura semicaudata rotensis,Pacific sheath-tailed Bat,Wherever found,1,Endangered,Mammals
52,Epioblasma torulosa gubernaculum,Green blossom (pearlymussel),Wherever found,4,Endangered,Clams
53,Tiaroga cobitis,Loach minnow,Wherever found,2,Endangered,Fishes
54,Myadestes myadestinus,Large Kauai (=kamao) Thrush,Wherever found,1,Endangered,Birds
55,Drosophila hemipeza,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
56,Caprimulgus noctitherus,Puerto Rican nightjar,Wherever found,4,Endangered,Birds
57,Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams
58,Charadrius nivosus nivosus,Western snowy plover,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",8,Threatened,Birds
59,Salvelinus confluentus,Bull Trout,"U.S.A., conterminous, lower 48 states",1,Threatened,Fishes
60,Gopherus agassizii,Desert tortoise,"Wherever found, except AZ south and east of Colorado R., and Mexico",8,Threatened,Reptiles
61,Anaea troglodyta floridalis,Florida leafwing Butterfly,Wherever found,4,Endangered,Insects
62,Rana muscosa,Mountain yellow-legged frog,Northern California DPS,8,Endangered,Amphibians
63,Texella reddelli,Bee Creek Cave harvestman,Wherever found,2,Endangered,Arachnids
64,Hemignathus wilsoni,akiapolaau,Wherever found,1,Endangered,Birds
65,Noturus stanauli,Pygmy madtom,Wherever found,4,Endangered,Fishes
66,Antilocapra americana sonoriensis,Sonoran pronghorn,"Wherever found, except where listed as an experimental population",2,Endangered,Mammals
67,Chelonia mydas,Green sea turtle,North Atlantic DPS,4,Threatened,Reptiles
68,Pseudotryonia adamantina,Diamond Tryonia,Wherever found,2,Endangered,Snails
69,Scaphirhynchus albus,Pallid sturgeon,Wherever found,6,Endangered,Fishes
70,Thomomys mazama tumuli,Tenino pocket gopher,Wherever found,1,Threatened,Mammals
71,Etheostoma spilotum,Kentucky arrow darter,Wherever found,4,Threatened,Fishes
72,Sylvilagus bachmani riparius,Riparian brush rabbit,Wherever found,8,Endangered,Mammals
