id,scientific_name,common_name,where_listed,region_name,region,esa_listing_status,category
ES570,Abronia macrocarpa,Large-fruited sand-verbena,Wherever found,Southwest,2,Endangered,Vascular Plant
ES458,Abutilon eremitopetalum,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES484,Abutilon menziesii,Ko`oloa`ula,Wherever found,Pacific,1,Endangered,Vascular Plant
ES15,Abutilon sandwicense,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES151,Acaena exigua,Liliwai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES356,Acanthomintha ilicifolia,San Diego thornmint,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES40,Acanthomintha obovata ssp. duttonii,San Mateo thornmint,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES1512,Accipiter striatus venator,Puerto Rican sharp-shinned hawk,Wherever found,Southeast,4,Endangered,Bird
ES1017,Achatinella spp.,Oahu tree snails,Wherever found,Pacific,1,Endangered,Slug/Snail
ES728,Achyranthes mutica,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES374,Achyranthes splendens var. rotundata,Round-leaved chaff-flower,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1109,Acipenser oxyrinchus (=oxyrhynchus) desotoi,Gulf sturgeon,Wherever found,Southeast,4,Threatened,Fish
ES1476,Acipenser transmontanus,White sturgeon,"U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system",Pacific,1,Endangered,Fish
ES738,Acmispon dendroideus var. traskiae,San Clemente Island lotus (=broom),Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES797,Aconitum noveboracense,Northern wild monkshood,Wherever found,Midwest,3,Threatened,Vascular Plant
ES1589,Acrocephalus familiaris kingi,Nihoa millerbird (old world warbler),Wherever found,Pacific,1,Endangered,Bird
ES1160,Acrocephalus luscinia,Nightingale reed warbler (old world warbler),Wherever found,Pacific,1,Endangered,Bird
ES1323,Adelocosa anops,Kauai cave wolf or pe'e pe'e maka 'ole spider,Wherever found,Pacific,1,Endangered,Spider/Scorpion
ES233,Adenophorus periens,Pendant kihi fern,Wherever found,Pacific,1,Endangered,Vascular Plant
ES759,Adiantum vivesii,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1190,Aerodramus vanikorensis bartschi,Mariana gray swiftlet,Wherever found,Pacific,1,Endangered,Bird
ES518,Aeschynomene virginica,Sensitive joint-vetch,Wherever found,Northeast,5,Threatened,Vascular Plant
ES319,Agalinis acuta,Sandplain gerardia,Wherever found,Northeast,5,Endangered,Vascular Plant
ES261,Agave eggersiana,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1597,Agelaius xanthomus,Yellow-shouldered blackbird,Wherever found,Southeast,4,Endangered,Bird
ES949,Akialoa stejnegeri,Kauai akialoa (honeycreeper),Wherever found,Pacific,1,Endangered,Bird
ES1021,Alasmidonta atropurpurea,Cumberland elktoe,Wherever found,Southeast,4,Endangered,Invertebrate
ES1459,Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,Northeast,5,Endangered,Invertebrate
