resource,family,class,order,taxonName,taxonCommonName,differentFrom,endemicTo,conservationStatus,resourceLabel,familyLabel,classLabel,orderLabel,differentFromLabel,endemicToLabel,conservationStatusLabel
http://www.wikidata.org/entity/q140,http://www.wikidata.org/entity/q25265,"['http://www.wikidata.org/entity/q7377', 'http://www.wikidata.org/entity/q23809240']",http://www.wikidata.org/entity/q25306,,"['lion', 'african lion']",,,http://www.wikidata.org/entity/q278113,lion,felidae,"['mammal', 'dipnotetrapodomorpha']",carnivora,,,vulnerable
http://www.wikidata.org/entity/q500,http://www.wikidata.org/entity/q146030,,http://www.wikidata.org/entity/q26316,,,,,,citrus ×limon,rutaceae,,sapindales,,,
http://www.wikidata.org/entity/q18766,"['http://www.wikidata.org/entity/q17190971', 'http://www.wikidata.org/entity/q27589']","['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,african skimmer,,,http://www.wikidata.org/entity/q719675,african skimmer,"['rynchopidae', 'laridae']","['dipnotetrapodomorpha', 'reptilia', 'bird']","['charadriiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,near threatened
http://www.wikidata.org/entity/q18785,http://www.wikidata.org/entity/q25900,"['http://www.wikidata.org/entity/q7377', 'http://www.wikidata.org/entity/q23809240']",http://www.wikidata.org/entity/q25401,,"['sumatra short-eared rabbit', 'sumatran striped rabbit', 'sumatran rabbit', 'sumatran short-eared rabbit']",,,http://www.wikidata.org/entity/q3245245,sumatran striped rabbit,leporidae,"['mammal', 'dipnotetrapodomorpha']",lagomorpha,,,data deficient
http://www.wikidata.org/entity/q18818,http://www.wikidata.org/entity/q182968,"['http://www.wikidata.org/entity/q7377', 'http://www.wikidata.org/entity/q23809240']",http://www.wikidata.org/entity/q7380,,tonkin snub-nosed monkey,,,http://www.wikidata.org/entity/q219127,rhinopithecus avunculus,old world monkey,"['mammal', 'dipnotetrapodomorpha']",primate,,,critically endangered
http://www.wikidata.org/entity/q18825,http://www.wikidata.org/entity/q10856,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q28078', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,ruddy cuckoo-dove,,,http://www.wikidata.org/entity/q211005,ruddy cuckoo-dove,columbidae,"['dipnotetrapodomorpha', 'reptilia', 'bird']","['columbiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18834,http://www.wikidata.org/entity/q27589,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,"['gull-billed tern', 'common gull-billed tern']",,"['http://www.wikidata.org/entity/q1850393', 'http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q7260866', 'http://www.wikidata.org/entity/q7786671', 'http://www.wikidata.org/entity/q26793770', 'http://www.wikidata.org/entity/q105954409']",http://www.wikidata.org/entity/q211005,gull-billed tern,laridae,"['dipnotetrapodomorpha', 'reptilia', 'bird']","['charadriiformes', 'dinosaur', 'saurischia', 'avetheropoda']",,"['little rann of kutch', 'bakkhali', 'purbasthali', 'thol lake', 'sunderbans wildlife national park', 'asan conservation reserve']",least concern
http://www.wikidata.org/entity/q18835,http://www.wikidata.org/entity/q28449,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,"['black-bellied plover', 'grey plover']",,"['http://www.wikidata.org/entity/q1850393', 'http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q14623377', 'http://www.wikidata.org/entity/q26793770']",http://www.wikidata.org/entity/q211005,grey plover,charadriidae,"['reptilia', 'bird', 'dipnotetrapodomorpha']","['dinosaur', 'charadriiformes', 'saurischia', 'avetheropoda']",,"['little rann of kutch', 'bakkhali', 'pani dihing wildlife sanctuary', 'sunderbans wildlife national park']",least concern
http://www.wikidata.org/entity/q18836,http://www.wikidata.org/entity/q205320,"['http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,"['common buttonquail', 'andalusian hemipode', 'kurrichane buttonquail']",,,http://www.wikidata.org/entity/q211005,common buttonquail,buttonquail,"['bird', 'reptilia', 'dipnotetrapodomorpha']","['charadriiformes', 'dinosaur', 'saurischia', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18837,http://www.wikidata.org/entity/q26626,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,wood sandpiper,,,http://www.wikidata.org/entity/q211005,wood sandpiper,scolopacidae,"['dipnotetrapodomorpha', 'reptilia', 'bird']","['charadriiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,least concern
