"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames similarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames postproccesedSimilarity","[3] StringListAttributeAsWholeComparatorJaccard.orders record1Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record2Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record1PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders record2PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders similarity","[3] StringListAttributeAsWholeComparatorJaccard.orders postproccesedSimilarity","[4] StringListAttributeAsWholeComparatorJaccard.families record1Value","[4] StringListAttributeAsWholeComparatorJaccard.families record2Value","[4] StringListAttributeAsWholeComparatorJaccard.families record1PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families record2PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families similarity","[4] StringListAttributeAsWholeComparatorJaccard.families postproccesedSimilarity","[5] StringListAttributeComparatorEqual.states record1Value","[5] StringListAttributeComparatorEqual.states record2Value","[5] StringListAttributeComparatorEqual.states record1PreprocessedValue","[5] StringListAttributeComparatorEqual.states record2PreprocessedValue","[5] StringListAttributeComparatorEqual.states similarity","[5] StringListAttributeComparatorEqual.states postproccesedSimilarity"
"WekaMatchingRule","BIO32501","ES1126","0.0",,"persicaria coccinea","perognathus longimembris pacificus","persicaria coccinea","perognathus longimembris pacificus","0.0","0.0","persicaria coccinea","perognathus longimembris pacificus","persicaria coccinea","perognathus longimembris pacificus","0.2941176470588235","0.2941176470588235","[pacific pocket mouse]","[water smartweed]","[pacific pocket mouse]","[water smartweed]","0.15000000000000002","0.15000000000000002",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO31644","ES1530","0.0",,"paruroctonus becki","paroreomyza maculata","paruroctonus becki","paroreomyza maculata","0.0","0.0","paruroctonus becki","paroreomyza maculata","paruroctonus becki","paroreomyza maculata","0.25","0.25","[oahu creeper]","[none]","[oahu creeper]","[none]","0.08333333333333337","0.08333333333333337",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO32745","ES509","0.9285714285714286",,"phacelia neglecta","phacelia submutica","phacelia neglecta","phacelia submutica","0.3333333333333333","0.3333333333333333","phacelia neglecta","phacelia submutica","phacelia neglecta","phacelia submutica","0.5555555555555556","0.5555555555555556","[alkali phacelia, alkali scorpion weed]","[debeque phacelia]","[alkali phacelia, alkali scorpion weed]","[debeque phacelia]","0.30625","0.30625",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO10813","ES1478","0.0",,"colaptes chrysoides","colinus virginianus ridgwayi","colaptes chrysoides","colinus virginianus ridgwayi","0.0","0.0","colaptes chrysoides","colinus virginianus ridgwayi","colaptes chrysoides","colinus virginianus ridgwayi","0.2857142857142857","0.2857142857142857","[guilded flicker, gilded flicker]","[masked bobwhite (quail)]","[guilded flicker, gilded flicker]","[masked bobwhite (quail)]","0.15217391304347827","0.15217391304347827",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO16311","ES842","0.0",,"eriogonum bicolor","eriophyllum latilobum","eriogonum bicolor","eriophyllum latilobum","0.0","0.0","eriogonum bicolor","eriophyllum latilobum","eriogonum bicolor","eriophyllum latilobum","0.4285714285714286","0.4285714285714286","[san mateo woolly sunflower]","[pretty wild buckwheat]","[san mateo woolly sunflower]","[pretty wild buckwheat]","0.23076923076923073","0.23076923076923073",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO06628","ES503","0.0",,"callithamnion","callicarpa ampla","callithamnion","callicarpa ampla","0.0","0.0","callithamnion","callicarpa ampla","callithamnion","callicarpa ampla","0.375","0.375","[capa rosa]","[none]","[capa rosa]","[none]","0.11111111111111116","0.11111111111111116",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO14760","ES735","1.0","1","dudleya traskiae","dudleya traskiae","dudleya traskiae","dudleya traskiae","1.0","1.0","dudleya traskiae","dudleya traskiae","dudleya traskiae","dudleya traskiae","1.0","1.0","[santa barbara island liveforever]","[santa barbara island live forever]","[santa barbara island liveforever]","[santa barbara island live forever]","0.9696969696969697","0.9696969696969697",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO25447","ES1129","1.0","1","loxops coccineus","loxops coccineus","loxops coccineus","loxops coccineus","1.0","1.0","loxops coccineus","loxops coccineus","loxops coccineus","loxops coccineus","1.0","1.0","[hawaii akepa]","[hawaii  akepa]","[hawaii akepa]","[hawaii  akepa]","0.9230769230769231","0.9230769230769231",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO16555","ES340","0.0",,"eriogynia pectinata","erigeron parishii","eriogynia pectinata","erigeron parishii","0.0","0.0","eriogynia pectinata","erigeron parishii","eriogynia pectinata","erigeron parishii","0.368421052631579","0.368421052631579","[parish s daisy]","[none]","[parish s daisy]","[none]","0.0","0.0",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO17231","ES963","0.0",,"euphorbia mercurialina","euphilotes battoides allyni","euphorbia mercurialina","euphilotes battoides allyni","0.0","0.0","euphorbia mercurialina","euphilotes battoides allyni","euphorbia mercurialina","euphilotes battoides allyni","0.33333333333333337","0.33333333333333337","[el segundo blue butterfly]","[mercury spurge]","[el segundo blue butterfly]","[mercury spurge]","0.16000000000000003","0.16000000000000003",,,,,,,,,,,,,,,,,,
