"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorEqual.category record1Value","[0] StringAttributeComparatorEqual.category record2Value","[0] StringAttributeComparatorEqual.category record1PreprocessedValue","[0] StringAttributeComparatorEqual.category record2PreprocessedValue","[0] StringAttributeComparatorEqual.category similarity","[0] StringAttributeComparatorEqual.category postproccesedSimilarity","[1] StringListAttributeComparatorLevenshtein.commonNames record1Value","[1] StringListAttributeComparatorLevenshtein.commonNames record2Value","[1] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames similarity","[1] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[2] StringListAttributeComparatorLevenshtein.orders record1Value","[2] StringListAttributeComparatorLevenshtein.orders record2Value","[2] StringListAttributeComparatorLevenshtein.orders record1PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders record2PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders similarity","[2] StringListAttributeComparatorLevenshtein.orders postproccesedSimilarity","[3] StringListAttributeComparatorLevenshtein.families record1Value","[3] StringListAttributeComparatorLevenshtein.families record2Value","[3] StringListAttributeComparatorLevenshtein.families record1PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families record2PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families similarity","[3] StringListAttributeComparatorLevenshtein.families postproccesedSimilarity"
"WekaMatchingRule","BIO32380","http://www.wikidata.org/entity/q2055113","0.09",,"Insect","Insect","Insect","Insect","1.0","1.0","[variegated cutworm]","[perilitus levopleuron]","[variegated cutworm]","[perilitus levopleuron]","0.19047619047619047","0.19047619047619047","[lepidoptera]","[hymenoptera]","[lepidoptera]","[hymenoptera]","0.5454545454545454","0.5454545454545454","[noctuidae]","[braconidae]","[noctuidae]","[braconidae]","0.5","0.5"
"WekaMatchingRule","BIO39200","http://www.wikidata.org/entity/q1832096",,"0","Nonvascular Plant","Spider/Scorpion","Nonvascular Plant","Spider/Scorpion","0.0","0.0","[none]","[scelidocteus berlandi]","[none]","[scelidocteus berlandi]","0.09523809523809523","0.09523809523809523","[sphaeropleales]","[xiphosura, araneae, xiphosurida]","[sphaeropleales]","[xiphosura, araneae, xiphosurida]","0.3571428571428571","0.3571428571428571","[scenedesmaceae]","[palpimanidae]","[scenedesmaceae]","[palpimanidae]","0.2142857142857143","0.2142857142857143"
"WekaMatchingRule","BIO45761","http://www.wikidata.org/entity/q1810956","0.61",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[xylocopa flavifrons]","[none]","[xylocopa flavifrons]","0.10526315789473684","0.10526315789473684","[coleoptera]","[hymenoptera]","[coleoptera]","[hymenoptera]","0.6363636363636364","0.6363636363636364","[anobiidae]","[apidae]","[anobiidae]","[apidae]","0.5555555555555556","0.5555555555555556"
"WekaMatchingRule","BIO26617","http://www.wikidata.org/entity/q1809338","0.5133333333333333",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[megaporus solidus]","[none]","[megaporus solidus]","0.05882352941176472","0.05882352941176472","[hymenoptera]","[coleoptera]","[hymenoptera]","[coleoptera]","0.6363636363636364","0.6363636363636364","[megachilidae]","[dytiscidae]","[megachilidae]","[dytiscidae]","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","BIO11550","http://www.wikidata.org/entity/q1135857",,"0",,,,,,,"[needle mulee]","[cory cactus hedgehog, rhinoceros cactus, sea urchin cactus, coryphantha echinus]","[needle mulee]","[cory cactus hedgehog, rhinoceros cactus, sea urchin cactus, coryphantha echinus]","0.17647058823529416","0.17647058823529416","[caryophyllales]","[caryophyllales]","[caryophyllales]","[caryophyllales]","1.0","1.0","[cactaceae]","[cactaceae]","[cactaceae]","[cactaceae]","1.0","1.0"
"WekaMatchingRule","BIO00009","http://www.wikidata.org/entity/q2113084",,"0","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[apanteles valvatus]","[none]","[apanteles valvatus]","0.11111111111111116","0.11111111111111116","[lepidoptera]","[hymenoptera]","[lepidoptera]","[hymenoptera]","0.5454545454545454","0.5454545454545454","[geometridae]","[braconidae]","[geometridae]","[braconidae]","0.36363636363636365","0.36363636363636365"
"WekaMatchingRule","BIO21306","http://www.wikidata.org/entity/q528405","0.76",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[hydaticus agaboides]","[none]","[hydaticus agaboides]","0.10526315789473684","0.10526315789473684","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[hydroscaphidae]","[dytiscidae]","[hydroscaphidae]","[dytiscidae]","0.5","0.5"
"WekaMatchingRule","BIO01222","http://www.wikidata.org/entity/q926089","0.04",,"Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[onion, wild onion]","[allium senescens]","[onion, wild onion]","[allium senescens]","0.25","0.25","[asparagales]","[asparagales, iridales, amaryllidales]","[asparagales]","[asparagales, iridales, amaryllidales]","1.0","1.0","[amaryllidaceae]","[amaryllidaceae, alliaceae]","[amaryllidaceae]","[amaryllidaceae, alliaceae]","1.0","1.0"
"WekaMatchingRule","BIO30655","http://www.wikidata.org/entity/q2082384","0.04",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[orthotrichia kinabalu]","[none]","[orthotrichia kinabalu]","0.09523809523809523","0.09523809523809523","[hemiptera]","[trichoptera]","[hemiptera]","[trichoptera]","0.4545454545454546","0.4545454545454546","[miridae]","[hydroptilidae]","[miridae]","[hydroptilidae]","0.3846153846153846","0.3846153846153846"
"WekaMatchingRule","BIO29079","http://www.wikidata.org/entity/q2127819","0.66",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[nestinus longicornis]","[none]","[nestinus longicornis]","0.15000000000000002","0.15000000000000002","[hymenoptera]","[coleoptera]","[hymenoptera]","[coleoptera]","0.6363636363636364","0.6363636363636364","[vespidae]","[leaf beetle]","[vespidae]","[leaf beetle]","0.18181818181818177","0.18181818181818177"
