"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard record1Value","[0] StringAttributeComparatorJaccard record2Value","[0] StringAttributeComparatorJaccard record1PreprocessedValue","[0] StringAttributeComparatorJaccard record2PreprocessedValue","[0] StringAttributeComparatorJaccard similarity","[0] StringAttributeComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","ES992","BIO28138","0.3333333333333333",,"myadestes myadestinus","myadestes obscurus","myadestes myadestinus","myadestes obscurus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES939","BIO01765","0.25",,"ammodramus savannarum floridanus","ammodramus maritimus","ammodramus savannarum floridanus","ammodramus maritimus","0.25","0.25"
"LinearCombinationMatchingRule","ES939","BIO01766","0.2",,"ammodramus savannarum floridanus","ammodramus maritimus mirabilis","ammodramus savannarum floridanus","ammodramus maritimus mirabilis","0.2","0.2"
"LinearCombinationMatchingRule","ES1075","BIO29477","0.0",,"notropis buccula","noturus flavus","notropis buccula","noturus flavus","0.0","0.0"
"LinearCombinationMatchingRule","ES1075","BIO29470","0.3333333333333333",,"notropis buccula","notropis volucellus","notropis buccula","notropis volucellus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1141","BIO28320","0.3333333333333333",,"myotis sodalis","myotis thysanodes","myotis sodalis","myotis thysanodes","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1600","BIO37033","0.3333333333333333",,"rana chiricahuensis","rana aurora","rana chiricahuensis","rana aurora","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1382","BIO29443","0.0",,"noturus furiosus","notropis baileyi","noturus furiosus","notropis baileyi","0.0","0.0"
"LinearCombinationMatchingRule","ES1600","BIO37032","0.5",,"rana chiricahuensis","rana","rana chiricahuensis","rana","0.5","0.5"
"LinearCombinationMatchingRule","ES1141","BIO28321","0.25",,"myotis sodalis","myotis thysanodes pahasapensis","myotis sodalis","myotis thysanodes pahasapensis","0.25","0.25"
"LinearCombinationMatchingRule","ES1593","BIO25753","0.25",,"lycaeides melissa samuelis","lycaena melissa melissa","lycaeides melissa samuelis","lycaena melissa melissa","0.25","0.25"
