"Blocking Key Value","Frequency"
"MAMMIC,FISHYP","2964"
"FISETH","2916"
"FISLEP","2912"
"INSACA","2898"
"INSALE","2884"
"BIRMEL","2883"
"INSPHA","2880"
"VASPIN","2812"
"INSDER","2806"
"INSCHL","2800"
"INSCAL","26224"
"INSOCH,INSPAP","2784"
"INSPOL","23647"
"VASAST","2688"
"INSNEO","20522"
"INSHYP","20273"
"INSPLA","19926"
"INSDIC","19228"
"INSMIC","19182"
"INSLAS","19027"
"INSCER","18904"
"INSEUP","17545"
"INSPAR","68816"
"INSPRO","44080"
"INSPSE","41700"
"INSHYD","38976"
"INSTRI","38400"
"INSANT","35776"
"INSMEG","33600"
"INSMEL","32844"
"INSSTE","29430"
"INSLEP","28890"
"INSCOL","17420"
"INSTIP","16834"
"INSMAC","16821"
"INSLIM","16638"
"INSPER","16100"
"INSMOR","14000"
"INSRHY","13938"
"INSCAR","13364"
"INSCHR","12320"
"INSHYL","12122"
"INSAND","11661"
"INSAPH","10553"
"INSXYL","10422"
"INSCRY","10175"
"INSBRA","10140"
"INSDIA","10044"
"INSPHY","9855"
"INSCHA","9560"
"VASJUN","9359"
"FUNPUC","9139"
"INSAGR","9120"
"INSEPI","9065"
"INSCHE","8610"
"INSSPH","8234"
"FUNRUS","8064"
"INSAGA","7693"
"INSHEL","7298"
"INSMET","7095"
"INSORT","6760"
"FISPAR","6699"
"FUNLAC","6474"
"INSCHI","6460"
"SPIPAR","6440"
"INSCOE","6420"
"INSHET","6364"
"INSCAM","6283"
"INSANO","6120"
"INSCOR","5880"
"INSMES","5712"
"INSLIS","5460"
"INSAPA","5275"
"INSAMP","5177"
"INSCON","4862"
"VASALO","4658"
"INSNOT","4466"
"INSSYN","4440"
"INSSTA","4160"
"INSMON","4137"
"INSRHA","4082"
"INSPRI","3996"
"INSEUR","3842"
"INSLEU","3816"
"INSHEM","3808"
"INSDIP","3712"
"INSPLE","3588"
"INVOPH","3504"
"BIRDEN","3483"
"INSRHI","3380"
"INSEUC","3348"
"INSBOM","3318"
"INSNES","3288"
"INSNOM","3285"
"MAMMYO","3198"
"INSHAL","3180"
"MAMPER","3105"
"INSANA","3094"
"INSTET","3045"
"INSDOL","3003"
