"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorEqual.scientificName record1Value","[0] StringAttributeComparatorEqual.scientificName record2Value","[0] StringAttributeComparatorEqual.scientificName record1PreprocessedValue","[0] StringAttributeComparatorEqual.scientificName record2PreprocessedValue","[0] StringAttributeComparatorEqual.scientificName similarity","[0] StringAttributeComparatorEqual.scientificName postproccesedSimilarity"
"LinearCombinationMatchingRule","BIO20271","ES1068","0.0",,"hemiemblemaria simulus","menidia extensa","hemiemblemaria simulus","menidia extensa","0.0","0.0"
"LinearCombinationMatchingRule","BIO08259","ES1505","0.0",,"catallagia sculleni","hylaeus hilaris","catallagia sculleni","hylaeus hilaris","0.0","0.0"
"LinearCombinationMatchingRule","BIO16916","ES1079","0.0",,"eucinostomus lefroyi","etheostoma sellare","eucinostomus lefroyi","etheostoma sellare","0.0","0.0"
"LinearCombinationMatchingRule","BIO14600","ES1347","0.0",,"drosophila xenophaga","oarisma poweshiek","drosophila xenophaga","oarisma poweshiek","0.0","0.0"
"LinearCombinationMatchingRule","BIO32459","ES1543","0.0",,"perognathus nelsoni","odocoileus virginianus clavium","perognathus nelsoni","odocoileus virginianus clavium","0.0","0.0"
"LinearCombinationMatchingRule","BIO30693","ES1266","0.0",,"osmia cordata","rhadine exilis","osmia cordata","rhadine exilis","0.0","0.0"
"LinearCombinationMatchingRule","BIO21899","ES1287","0.0",,"hypsoropha monilis","drosophila aglaia","hypsoropha monilis","drosophila aglaia","0.0","0.0"
"LinearCombinationMatchingRule","BIO17537","ES1116","0.0",,"euxoa tristicula","euchloe ausonides insulanus","euxoa tristicula","euchloe ausonides insulanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO35972","ES993","0.0",,"pseudeucoila grandissima","drosophila hemipeza","pseudeucoila grandissima","drosophila hemipeza","0.0","0.0"
"LinearCombinationMatchingRule","BIO29116","ES1273","0.0",,"nesophrosyne pele","neonympha mitchellii mitchellii","nesophrosyne pele","neonympha mitchellii mitchellii","0.0","0.0"
"LinearCombinationMatchingRule","BIO33659","ES1337","0.0",,"pieris napi","euproserpinus euterpe","pieris napi","euproserpinus euterpe","0.0","0.0"
"LinearCombinationMatchingRule","BIO21416","ES1059","0.0",,"hygrotus","pseudocopaeodes eunus obscurus","hygrotus","pseudocopaeodes eunus obscurus","0.0","0.0"
"LinearCombinationMatchingRule","BIO16267","ES1252","0.0",,"erimyzon oblongus","notropis topeka ( tristis)","erimyzon oblongus","notropis topeka ( tristis)","0.0","0.0"
"LinearCombinationMatchingRule","BIO36897","ES1447","0.0",,"quiscalus major","branta ( nesochen) sandvicensis","quiscalus major","branta ( nesochen) sandvicensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO17982","ES1593","0.0",,"formica neoclara","lycaeides melissa samuelis","formica neoclara","lycaeides melissa samuelis","0.0","0.0"
"LinearCombinationMatchingRule","BIO34929","ES1207","0.0",,"polygonia oreas","elaphrus viridis","polygonia oreas","elaphrus viridis","0.0","0.0"
"LinearCombinationMatchingRule","BIO31640","ES947","0.0",,"parula americana","falco femoralis septentrionalis","parula americana","falco femoralis septentrionalis","0.0","0.0"
"LinearCombinationMatchingRule","BIO12138","ES1437","0.0",,"ctenicera callida","apodemia mormo langei","ctenicera callida","apodemia mormo langei","0.0","0.0"
"LinearCombinationMatchingRule","BIO39435","ES1100","0.0",,"scoliopteryx libatrix","rhadine persephone","scoliopteryx libatrix","rhadine persephone","0.0","0.0"
"LinearCombinationMatchingRule","BIO37400","ES1059","0.0",,"rhinomalus cygnaei","pseudocopaeodes eunus obscurus","rhinomalus cygnaei","pseudocopaeodes eunus obscurus","0.0","0.0"
"LinearCombinationMatchingRule","BIO01597","ES1163","0.0",,"amblycorypha uhleri","zapada glacier","amblycorypha uhleri","zapada glacier","0.0","0.0"
"LinearCombinationMatchingRule","BIO09484","ES1590","0.0",,"chlorodrepanis virens wilsoni","oreomystis bairdi","chlorodrepanis virens wilsoni","oreomystis bairdi","0.0","0.0"
"LinearCombinationMatchingRule","BIO12208","ES1509","0.0",,"culicoides obsoletus","megalagrion nesiotes","culicoides obsoletus","megalagrion nesiotes","0.0","0.0"
"LinearCombinationMatchingRule","BIO15963","ES1013","0.0",,"eremophila alpestris enthymia","buteo platypterus brunnescens","eremophila alpestris enthymia","buteo platypterus brunnescens","0.0","0.0"
"LinearCombinationMatchingRule","BIO32448","ES1536","0.0",,"perognathus fasciatus","dipodomys heermanni morroensis","perognathus fasciatus","dipodomys heermanni morroensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO15137","ES1539","0.0",,"eleodes dentipes","rhadine infernalis","eleodes dentipes","rhadine infernalis","0.0","0.0"
"LinearCombinationMatchingRule","BIO17345","ES1185","0.0",,"eupompha elegans elegans","megalagrion pacificum","eupompha elegans elegans","megalagrion pacificum","0.0","0.0"
"LinearCombinationMatchingRule","BIO07207","ES1270","0.0",,"canis","microtus pennsylvanicus dukecampbelli","canis","microtus pennsylvanicus dukecampbelli","0.0","0.0"
"LinearCombinationMatchingRule","BIO20503","ES1562","0.0",,"heterocloeon","neonympha mitchellii francisci","heterocloeon","neonympha mitchellii francisci","0.0","0.0"
"LinearCombinationMatchingRule","BIO26692","ES1207","0.0",,"megaselia setaria","elaphrus viridis","megaselia setaria","elaphrus viridis","0.0","0.0"
"LinearCombinationMatchingRule","BIO01309","ES1155","0.0",,"allomyia gnathos","heraclides aristodemus ponceanus","allomyia gnathos","heraclides aristodemus ponceanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO13493","ES1361","0.0",,"dianthidium marshi","megalagrion oceanicum","dianthidium marshi","megalagrion oceanicum","0.0","0.0"
"LinearCombinationMatchingRule","BIO02601","ES1043","0.0",,"antocha opalizens","hylaeus anthracinus","antocha opalizens","hylaeus anthracinus","0.0","0.0"
"LinearCombinationMatchingRule","BIO06655","ES1636","0.0",,"callophrys affinis","drosophila substenoptera","callophrys affinis","drosophila substenoptera","0.0","0.0"
"LinearCombinationMatchingRule","BIO21947","ES1328","0.0",,"ichthyomyzon gagei","noturus crypticus","ichthyomyzon gagei","noturus crypticus","0.0","0.0"
"LinearCombinationMatchingRule","BIO29480","ES1388","0.0",,"noturus lachneri","lepidomeda mollispinis pratensis","noturus lachneri","lepidomeda mollispinis pratensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO39435","ES1369","0.0",,"scoliopteryx libatrix","boloria acrocnema","scoliopteryx libatrix","boloria acrocnema","0.0","0.0"
"LinearCombinationMatchingRule","BIO29997","ES1632","0.0",,"oligoplites","percina pantherina","oligoplites","percina pantherina","0.0","0.0"
"LinearCombinationMatchingRule","BIO03834","ES1092","0.0",,"asio otus","chasiempis ibidis","asio otus","chasiempis ibidis","0.0","0.0"
"LinearCombinationMatchingRule","BIO36425","ES1494","0.0",,"ptychocheilus oregonensis","dionda diaboli","ptychocheilus oregonensis","dionda diaboli","0.0","0.0"
"LinearCombinationMatchingRule","BIO41481","ES1505","0.0",,"staphylinae sp. 131","hylaeus hilaris","staphylinae sp. 131","hylaeus hilaris","0.0","0.0"
"LinearCombinationMatchingRule","BIO17404","ES1000","0.0",,"eurycea wilderae","rana muscosa","eurycea wilderae","rana muscosa","0.0","0.0"
"LinearCombinationMatchingRule","BIO01681","ES1252","0.0",,"ameiurus melas","notropis topeka ( tristis)","ameiurus melas","notropis topeka ( tristis)","0.0","0.0"
"LinearCombinationMatchingRule","BIO19884","ES1505","0.0",,"haplothrips davisi","hylaeus hilaris","haplothrips davisi","hylaeus hilaris","0.0","0.0"
"LinearCombinationMatchingRule","BIO00954","ES1091","0.0",,"agriades glandon","pyrgus ruralis lagunae","agriades glandon","pyrgus ruralis lagunae","0.0","0.0"
"LinearCombinationMatchingRule","BIO38617","ES998","0.0",,"salvadora hexalepis hexalepis","gopherus agassizii","salvadora hexalepis hexalepis","gopherus agassizii","0.0","0.0"
"LinearCombinationMatchingRule","BIO06360","ES1315","0.0",,"buprestis","megalagrion nigrohamatum nigrolineatum","buprestis","megalagrion nigrohamatum nigrolineatum","0.0","0.0"
"LinearCombinationMatchingRule","BIO13379","ES1266","0.0",,"desmocerus piperi","rhadine exilis","desmocerus piperi","rhadine exilis","0.0","0.0"
"LinearCombinationMatchingRule","BIO19033","ES1140","0.0",,"glossosoma","megalagrion xanthomelas","glossosoma","megalagrion xanthomelas","0.0","0.0"
"LinearCombinationMatchingRule","BIO25323","ES1509","0.0",,"lophoplusia pterylota","megalagrion nesiotes","lophoplusia pterylota","megalagrion nesiotes","0.0","0.0"
"LinearCombinationMatchingRule","BIO29433","ES1328","0.0",,"notorynchus cepedianus","noturus crypticus","notorynchus cepedianus","noturus crypticus","0.0","0.0"
"LinearCombinationMatchingRule","BIO43978","ES1437","0.0",,"trichoptera","apodemia mormo langei","trichoptera","apodemia mormo langei","0.0","0.0"
"LinearCombinationMatchingRule","BIO19150","ES1288","0.0",,"gobiomorus dormitor","scaphirhynchus suttkusi","gobiomorus dormitor","scaphirhynchus suttkusi","0.0","0.0"
"LinearCombinationMatchingRule","BIO23454","ES1372","0.0",,"lathrobium emarginatum","callophrys mossii bayensis","lathrobium emarginatum","callophrys mossii bayensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO21448","ES960","0.0",,"hylaeus kukui","speyeria zerene hippolyta","hylaeus kukui","speyeria zerene hippolyta","0.0","0.0"
"LinearCombinationMatchingRule","BIO36606","ES1410","0.0",,"pyla","icaricia icarioides fenderi","pyla","icaricia icarioides fenderi","0.0","0.0"
"LinearCombinationMatchingRule","BIO19299","ES1148","0.0",,"graphium marcellus","bombus affinis","graphium marcellus","bombus affinis","0.0","0.0"
"LinearCombinationMatchingRule","BIO28856","ES1078","0.0",,"neopareophora litura","trimerotropis infantilis","neopareophora litura","trimerotropis infantilis","0.0","0.0"
"LinearCombinationMatchingRule","BIO36233","ES1035","0.0",,"psorophora howardii","drosophila ochrobasis","psorophora howardii","drosophila ochrobasis","0.0","0.0"
"LinearCombinationMatchingRule","BIO29474","ES1114","0.0",,"noturus eleutherus","phoxinus cumberlandensis","noturus eleutherus","phoxinus cumberlandensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO08716","ES1123","0.0",,"ceratitis capitata","euphydryas editha taylori","ceratitis capitata","euphydryas editha taylori","0.0","0.0"
